function,img1,img2,img3,img4,img5,img6,img7
cv2.TM_CCOEFF,0.05003929138183594,0.11207747459411621,0.1067047119140625,0.11276745796203613,0.06475043296813965,0.10936832427978516,0.19945621490478516
cv2.TM_CCOEFF_NORMED,0.07745242118835449,0.16036391258239746,0.15807247161865234,0.17061400413513184,0.06916213035583496,0.18726754188537598,0.33905887603759766
cv2.TM_CCORR,0.0417628288269043,0.0845639705657959,0.0787515640258789,0.08459091186523438,0.03925466537475586,0.10139918327331543,0.14866137504577637
cv2.TM_CCORR_NORMED,0.07607579231262207,0.1832447052001953,0.15239214897155762,0.16118860244750977,0.06703972816467285,0.1609339714050293,0.27478933334350586
cv2.TM_SQDIFF,0.06477475166320801,0.14002060890197754,0.14157605171203613,0.15540766716003418,0.06941938400268555,0.14493656158447266,0.25205063819885254
cv2.TM_SQDIFF_NORMED,0.06834673881530762,0.15299415588378906,0.14810395240783691,0.16706633567810059,0.08629202842712402,0.1817629337310791,0.32028746604919434
